cid,years,director,category,number,name,awards,awards1,awards2,awards3,awards4,awards5,awards6,,,
A,2004,許肇任,短片,0,呼吸,坎城影展坎城會外賽國際影評人週「柯達發現獎最佳短片」、「TV5青年評論」獎,2005第十六屆巴西聖保羅國際短片影展觀摩,2005西班牙奇幻影展最佳短片,,,,,,,
C,2004,周美玲,劇情片,0,艷光四射歌舞團,韓國第1屆「亞洲獨立製片影展」觀眾網路票選最佳電影,,,,,,,,,
C,2005,王明台,劇情片,0,戀人,義大利威尼斯影展作者之日單元最具潛力獎,,,,,,,,,
C,2004,林正盛,劇情片,0,月光下，我記得,亞太影展「最佳編劇」獎（林正盛）,「評審團特別獎」（楊貴媚),,,,,,,,
H,2005,王童,動畫片,5530000,紅孩兒決戰火焰山,亞太影展「最佳動畫」單元,,,,,,,,,
A,2005,林見坪,短片,0,小站,第62屆威尼斯影展最佳短片銀獅獎,,,,,,,,,
A,2005,陳秀玉,短片,0,那年夏天的浪聲,日本亞洲海洋影展「評審團特別獎」,,,,,,,,,
C,2006,姚宏易,劇情片,0,愛麗絲的鏡子,南特影展競賽單元，導演青年觀眾票選獎,,,,,,,,,
D,2005,李家驊,紀錄片,0,25歲、國小二年級,日本山形國際紀錄片影展亞洲千波萬波單元特別獎,,,,,,,,,
D,2003,郭珍弟 簡偉斯,紀錄片,,跳舞時代,中美洲創作icaro電視電影觀摩展紀錄片單元「最佳外國紀錄片獎」、「最佳音效獎」,,,,,,,,,
H,2003,陳尚柏,動畫片,0,飛鳥航道,法國安錫動畫影展「發現台灣」觀摩單元,,,,,,,,,
C,2003,楊順清,劇情片,0,台北二一,第49屆亞太影展「最佳影片」獎,,,,,,,,,
C,2003,尹祺,劇情片,0,黑狗來了,第49屆亞太影展「最佳女配角」獎（林美秀）,,,,,,,,,
C,2003,王毓雅,劇情片,0,飛躍情海,日本福崗影展評審團大獎,,,,,,,,,
C,2003,李康生,劇情片,0,不見,第三十三屆荷蘭鹿特丹國際影展金虎獎、影評人獎、亞洲電影發展協會獎,2004年第六屆印度亞洲影展最佳影片、最佳女主角（陸弈靜）,2004年義大利羅馬亞洲影展最佳導演、最佳女主角獎,2004年中國第4屆華語電影傳媒大獎,2003 釜山國際影展 競賽單元 最高榮譽新潮流獎,第60屆威尼斯影展國際影評人費比西獎。,,,,
D,2002,湯湘竹,紀錄片,0,山有多高,第62屆皮巴蒂獎(peabody award),,,,,,,,,
C,2003,蔡明亮,劇情片,2020000,不散,第四十屆金馬獎年度最佳台灣電影獎,2003第六十屆義大利威尼斯國際影展競賽單元費比西獎,2003第三十九屆美國芝加哥國際影展Golden Plaque獎,2003第四十八屆亞太影展評審團獎、最佳女配角獎（楊貴媚）國芝加哥國際影展Golden Plaque獎,2003法國南特三洲影展最佳導演獎（蔡明亮）、青年評審團獎,2005土耳其伊斯坦堡國際影展 「金鬱金香」最佳影片,,,,
C,2002,張作驥,劇情片,2418290,美麗時光,第十六屆新加坡國際影展競賽單元首獎,2002年威尼斯影展競賽,,,,,,,,
D,2004,吳乙峰,紀錄片,10410000,生命,日本山形國際紀錄片雙年展國際競賽單元優秀賞,2003法國南特影展觀眾票選獎,,,,,,,,
C,1994,蔡明亮,劇情片,0,愛情萬歲,巴拉圭影展,第16屆法國南特影展最佳導演／男主角獎,,,,,,,,
C,2002,王明台,劇情片,0,鹹豆漿,南特三洲影展最佳男演員獎,,,,,,,,,
C,2002,何平,劇情片,72780,挖洞人,第五十二屆德國柏林國際影展「青年導演論壇」觀摩單元唐吉訶德獎,2002第四屆法國杜維爾亞洲影展最佳編劇獎（郭箏、何平）,2002第四十七屆亞太影展最佳剪輯（顧曉芸）、最佳新進女演員（韋苓）、評審團特別獎,,,,,,,
C,2001,閻鴻亞,劇情片,0,人間喜劇,阿曼馬斯喀開特電影節「金匕首獎」,,,,,,,,,
C,2002,周晏子,劇情片,0,二月十四,休士頓影展「低成本最佳影片」金牌獎,,,,,,,,,
C,2001,蔡明亮,劇情片,2636589,你那邊幾點,2002年馬尼拉國際影展 最佳男主角、最佳影片大獎,2001第三十七屆芝加哥影展　銀雨果－評審團特別獎、最佳導演獎、評審團攝影特別獎,,,,,,,,
A,2001,林泰州,短片,0,狂舞憂鬱,第五十九屆義大利威尼斯影展義大利未來電影學會首部長片獎,,,,,,,,,
A,2002,洪維健,短片,0,綠色玫瑰,義大利另類影展 最佳影片獎,,,,,,,,,
C,2001,侯孝賢,劇情片,0,千禧曼波,坎城影展 「技術獎」(杜篤之),2001第三十七屆芝加哥影展 銀雨果獎,2001第二十八屆比利時根特影展 最佳導演獎,,,,,,,
C,2000,徐立功、尹祺,劇情片,,夜奔,第四十六屆亞太影展 最佳音樂獎,,,,,,,,,
